y,trt,time,animal,ctime,x,infect,iron,time3,i3,rtime3
110,1,1,A01,0,-3.15086957,Non.infected,NoIron,0,0,NA
135,1,2,A01,2.8,-2.87086957,Non.infected,NoIron,0,0,NA
150,1,3,A01,4.4,-2.71086957,Non.infected,NoIron,1.1,1,1.1
160,1,4,A01,5.7,-2.58086957,Non.infected,NoIron,2.4,1,2.4
170,1,5,A01,9.7,-2.18086957,Non.infected,NoIron,6.4,1,6.4
175,1,6,A01,12.5,-1.90086957,Non.infected,NoIron,9.2,1,9.2
200,1,7,A01,15.4,-1.61086957,Non.infected,NoIron,12.1,1,12.1
205,1,8,A01,17.4,-1.41086957,Non.infected,NoIron,14.1,1,14.1
225,1,9,A01,20.2,-1.13086957,Non.infected,NoIron,16.9,1,16.9
230,1,10,A01,23.2,-0.83086957,Non.infected,NoIron,19.9,1,19.9
255,1,11,A01,25.8,-0.57086957,Non.infected,NoIron,22.5,1,22.5
285,1,12,A01,32.3,0.07913043,Non.infected,NoIron,29,1,29
295,1,13,A01,35.6,0.40913043,Non.infected,NoIron,32.3,1,32.3
310,1,14,A01,38.6,0.70913043,Non.infected,NoIron,35.3,1,35.3
335,1,15,A01,41.4,0.98913043,Non.infected,NoIron,38.1,1,38.1
330,1,16,A01,44.7,1.31913043,Non.infected,NoIron,41.4,1,41.4
325,1,17,A01,47.7,1.61913043,Non.infected,NoIron,44.4,1,44.4
345,1,18,A01,50.5,1.89913043,Non.infected,NoIron,47.2,1,47.2
360,1,19,A01,53.3,2.17913043,Non.infected,NoIron,50,1,50
370,1,20,A01,54.6,2.30913043,Non.infected,NoIron,51.3,1,51.3
395,1,21,A01,60.1,2.85913043,Non.infected,NoIron,56.8,1,56.8
375,1,22,A01,62.9,3.13913043,Non.infected,NoIron,59.6,1,59.6
380,1,23,A01,65.9,3.43913043,Non.infected,NoIron,62.6,1,62.6
130,1,1,A02,0,-3.15086957,Non.infected,NoIron,0,0,NA
160,1,2,A02,2.8,-2.87086957,Non.infected,NoIron,0,0,NA
180,1,3,A02,4.4,-2.71086957,Non.infected,NoIron,1.1,1,1.1
185,1,4,A02,5.7,-2.58086957,Non.infected,NoIron,2.4,1,2.4
200,1,5,A02,9.7,-2.18086957,Non.infected,NoIron,6.4,1,6.4
225,1,6,A02,12.5,-1.90086957,Non.infected,NoIron,9.2,1,9.2
240,1,7,A02,15.4,-1.61086957,Non.infected,NoIron,12.1,1,12.1
250,1,8,A02,17.4,-1.41086957,Non.infected,NoIron,14.1,1,14.1
275,1,9,A02,20.2,-1.13086957,Non.infected,NoIron,16.9,1,16.9
280,1,10,A02,23.2,-0.83086957,Non.infected,NoIron,19.9,1,19.9
295,1,11,A02,25.8,-0.57086957,Non.infected,NoIron,22.5,1,22.5
320,1,12,A02,32.3,0.07913043,Non.infected,NoIron,29,1,29
330,1,13,A02,35.6,0.40913043,Non.infected,NoIron,32.3,1,32.3
355,1,14,A02,38.6,0.70913043,Non.infected,NoIron,35.3,1,35.3
360,1,15,A02,41.4,0.98913043,Non.infected,NoIron,38.1,1,38.1
355,1,16,A02,44.7,1.31913043,Non.infected,NoIron,41.4,1,41.4
370,1,17,A02,47.7,1.61913043,Non.infected,NoIron,44.4,1,44.4
390,1,18,A02,50.5,1.89913043,Non.infected,NoIron,47.2,1,47.2
400,1,19,A02,53.3,2.17913043,Non.infected,NoIron,50,1,50
410,1,20,A02,54.6,2.30913043,Non.infected,NoIron,51.3,1,51.3
440,1,21,A02,60.1,2.85913043,Non.infected,NoIron,56.8,1,56.8
445,1,22,A02,62.9,3.13913043,Non.infected,NoIron,59.6,1,59.6
470,1,23,A02,65.9,3.43913043,Non.infected,NoIron,62.6,1,62.6
